Grade;Area;Topic;Code;Description
PK-K;Dance Standards;Generate and conceptualize artistic ideas and work;PK-K.D.Cr.01; Use a variety of props when exploring movement.
PK-K;Dance Standards;Organize and develop artistic ideas and work;PK-K.D.Cr.02; 
PK-K;Dance Standards;Refine and complete artistic work;PK.K.D.Cr.03;a. Identify and distinguish between body parts in movements, (e.g., feet and toes).
PK-K;Dance Standards;Select, analyze and interpret artistic work for presentation;PK-K.D.P.04;b.Focus on and pursue a process or idea to completion during dance activities. 
PK-K;Dance Standards;Develop and refine artistic techniques and work for presentation;PK-K.D.P.05;With prompting and support, choose favorite movement ideas, practicing and demonstrating them. (PK-K.D.3)
PK-K;Dance Standards; Convey meaning through the presentation of artistic work;PK-K.D.P.06; Contrast movements in different levels (including, high, middle, low) and pathways (including, curvy, straight, circle, zig-zag, wavy, spiral). 
PK-K;Dance Standards; Perceive and analyze artistic work;PK-K.D.R.07; Maintain personal and general space safely and respectfully (e.g., stop, start, and control one?s own body).
PK-K;Dance Standards; Interpret intent and meaning in artistic work;PK-K.D.R.08;  Perform short dance works expressively. 
PK-K;Dance Standards; Apply criteria to evaluate artistic work;PK-K.D.R.09; Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Dance Standards; Synthesize and relate knowledge and personal experiences to make art;PK.K.D.Co.10; Articulate personal responses to dance (e.g., ?this piece made me feel? this piece made me think??). 
PK-K;Dance Standards; Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK.K.D.Co.11;" Share observations regarding a dance performance (e.g., ""I noticed that everyone had a turn""). "
PK-K;Media Arts ;Generate and conceptualize artistic ideas and work;PK-K.MA.Cr.01; Identify examples of dance in their daily life.
PK-K;Media Arts ;Organize and develop artistic ideas and work;PK-K.MA.Cr.02; Respond in movement to music cues associated with various dance styles. e.g., tap, hip-hop, ballet, square).
PK-K;Media Arts ;Refine and complete artistic work;PK-K.MA.Cr.03; Explore moving images or interactive art using a variety of media and tools.
PK-K;Media Arts ;Select, analyze and interpret artistic work for presentation;PK-K.MA.P.04;Focus on and pursue a process or idea to completion during experimentation with a variety of media and tools. 
PK-K;Media Arts ;Develop and refine artistic techniques and work for presentation;PK-K.MA.P.05; With prompting and support, generate multiple ideas for a moving image or interactive piece. 
PK-K;Media Arts ;Convey meaning through the presentation of artistic work;PK-K.MA.P.06; Describe process and choices made when generating components for a moving image or interactive piece. 
PK-K;Media Arts ;Perceive and analyze artistic work;PK-K.MA.R.07; Select a media product from play and experimentation to share.
PK-K;Media Arts ;Interpret intent and meaning in artistic work;PK-K.MA.R.08; Give reasons for selecting a media product to present.
PK-K;Media Arts ;Apply criteria to evaluate artistic work;PK-K.MA.R.09; With prompting and support, identify similarities between multiple different media art pieces. 
PK-K;Media Arts ;Synthesize and relate knowledge and personal experiences to make art;PK-K.MA.Co.10; Share observations regarding a variety of media artworks.
PK-K;Media Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.MA.Co.11; Articulate personal responses of media artworks (e.g., ?this piece made me feel?? ?this piece made me think??).
PK-K;Music;Generate and conceptualize artistic ideas and work;PK-K.M.Cr.01;Identify examples of media artworks in the student's daily life.
PK-K;Music;Organize and develop artistic ideas and work;PK-K.M.Cr.02;With support, identify different types of media artwork (e.g., animation, website, digital space). 
PK-K;Music;Refine and complete artistic work;PK-K.M.Cr.03; With prompting and support, sing or play short original musical ideas. 
PK-K;Music;Select, analyze and interpret artistic work for presentation;PK-K.M.P.04;
PK-K;Music;Develop and refine artistic techniques and work for presentation;PK-K.M.P.05;a. Focus on and pursue a process or idea to completion during play and experimentation with music.
PK-K;Music;Convey meaning through the presentation of artistic work;PK-K.M.P.06;b. Name and demonstrate vocal production types (including speaking, singing, whispering). 
PK-K;Music;Perceive and analyze artistic work;PK-K.M.R.07; With prompting and support, choose favorite musical ideas, practicing and demonstrating them vocally or on an instrument. 
PK-K;Music;Interpret intent and meaning in artistic work;PK-K.M.R.08; Contrast different musical element opposites (including fast-slow, high-low, quiet-loud) through singing, playing, or moving.
PK-K;Music;Apply criteria to evaluate artistic work;PK-K.M.R.09; Demonstrate beat competency by using a steady beat when performing pieces that incorporate simple rhythmic patterns (e.g., body percussion, classroom instruments, or movement). 
PK-K;Music;Synthesize and relate knowledge and personal experiences to make art;PK-K.M.Co.10; Perform a short original musical idea through singing and playing with expression.
PK-K;Music;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.M.Co.11; Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Theatre;Generate and conceptualize artistic ideas and work;PK-K.T.Cr.01; Share observations regarding diverse musical works (e.g., world, popular, folk, classical, etc.)
PK-K;Theatre;Organize and develop artistic ideas and work;PK-K.T.Cr.02; Articulate personal responses to music (e.g., ?this piece made me feel?? ?this piece made me think??)
PK-K;Theatre;Refine and complete artistic work;PK-K.T.Cr.03; Identify examples of music they hear or perform in their daily life (e.g. in advertisements or radio). 
PK-K;Theatre;Select, analyze and interpret artistic work for presentation;PK-K.T.P.04; Move to different genres and styles of music (e.g., classical, jazz, rock, country, hip-hop).
PK-K;Theatre;Develop and refine artistic techniques and work for presentation;PK-K.T.P.05;Contribute story ideas in dramatic play.
PK-K;Theatre;Convey meaning through the presentation of artistic work;PK-K.T.P.06; Use everyday objects to create puppets, props, scenery, and costume pieces in dramatic play.
PK-K;Theatre;Perceive and analyze artistic work;PK-K.T.R.07; ÿRepeat improvised scenes in different ways (e.g., imagine this character was happy, redo the scene if it were raining).
PK-K;Theatre;Interpret intent and meaning in artistic work;PK-K.T.R.08;ÿIdentify realistic feelings characters might have in a theatrical work.
PK-K;Theatre;Apply criteria to evaluate artistic work;PK-K.T.R.09; Demonstrate appropriate behaviors of a theatrical presentation (e.g., waiting to enter, bowing at the end).ÿ
PK-K;Theatre;Synthesize and relate knowledge and personal experiences to make art;PK-K.T.Co.10;Portray simple characters in dramatic play.
PK-K;Theatre;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.T.Co.11;Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Visual Arts ;Generate and conceptualize artistic ideas and work;PK-K.V.Cr.01;"ÿShare observations regarding a theatrical work (e.g., ""I noticed that all the mean characters were dressed in red"")."
PK-K;Visual Arts ;Organize and develop artistic ideas and work;PK-K.V.Cr.02;Articulate personal responses to theatrical work (e.g., ?this piece made me feel?? ?this piece made me think??).
PK-K;Visual Arts ;Refine and complete artistic work;PK-K.V.Cr.03; With prompting and support, identify similarities between elements of a theatrical work and personal experiences.ÿ
PK-K;Visual Arts ;Select, analyze and interpret artistic work for presentation;PK-K.V.P.04;With support, identify different types of theatrical works (e.g., puppetry, musicals, improvisation.
PK-K;Visual Arts ;Develop and refine artistic techniques and work for presentation;PK-K.V.P.05;Experiment with a wide variety of both two- and three-dimensional materials, including recycled/repurposed ones after looking at images from several artists who use those materials. 
PK-K;Visual Arts ;Convey meaning through the presentation of artistic work;PK-K.V.P.06; Focus on and pursue a process or idea to completion when experimenting with a wide variety of art materials. 
PK-K;Visual Arts ;Perceive and analyze artistic work;PK-K.V.R.07; Investigate more than one artistic idea using the same medium. 
PK-K;Visual Arts ;Interpret intent and meaning in artistic work;PK-K.V.R.08;Create an image or object and describe what it represents.
PK-K;Visual Arts ;Apply criteria to evaluate artistic work;PK-K.V.R.09;Select and share a product created through experimentation with materials. 
PK-K;Visual Arts ;Synthesize and relate knowledge and personal experiences to make art;PK-K.V.Co.10;Give reasons for selecting an artwork to share.
PK-K;Visual Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.V.Co.11;With prompting and support, identify similarities between multiple pieces of art. 
 1-2;Dance Standards;Generate and conceptualize artistic ideas and work;1-2.D.Cr.01;" Describe what is seen in an artwork (e.g., ?I see a dot; I see yellow in the corner; I see a round part?), interpret a possible meaning, and explain why the meaning makes sense."
 1-2;Dance Standards;Organize and develop artistic ideas and work;1-2.D.Cr.02; Select a work that evokes feelings and describe the connection between the work and the emotional response. 
 1-2;Dance Standards;Refine and complete artistic work;1-2.D.Cr.03;Identify examples of art in daily life and use them as inspiration for their artwork.
 1-2;Dance Standards;Select, analyze and interpret artistic work for presentation;1-2.D.P.04;With support, identify different types of artwork (e.g., paintings, sculpture, performance, fiber) within their community and other places they have encountered.
 1-2;Dance Standards;Develop and refine artistic techniques and work for presentation;1-2.D.P.05; Generate dance ideas that utilize levels (e.g., high, low), pathways (e.g., straight, curvy), shapes (e.g., symmetric and asymmetric) and directions (e.g., backward, diagonal).
 1-2;Dance Standards;Convey meaning through the presentation of artistic work;1-2.D.P.06;Initiate movements from locomotive or non-locomotive movements using different body parts. 
 1-2;Dance Standards;Perceive and analyze artistic work;1-2.D.R.07;Demonstrate accuracy in moving to a musical beat and responding to changes in tempo. 
 1-2;Dance Standards;Interpret intent and meaning in artistic work;1-2.D.R.08; Demonstrate the difference between pantomime and gesture in dance. 
 1-2;Dance Standards;Apply criteria to evaluate artistic work;1-2.D.R.09;Demonstrate partner skills of copying, leading, and following. 
 1-2;Dance Standards;Synthesize and relate knowledge and personal experiences to make art;1-2.D.Co.10;Move in ways that match cues, directions and artistic interpretations.
