Grado;Área;Tema;Código;Descripción
PK-K;Danza;Generar y conceptualizar ideas y trabajos artísticos.;PK-KDCr.01;Utilice una variedad de accesorios al explorar el movimiento.
PK-K;Danza;Organizar y desarrollar ideas y trabajos artísticos.;PK-KDCr.02;Utilice una variedad de accesorios al explorar el movimiento.
PK-K;Danza;Refinar y completar la obra artística;PK.KDCr.03;a. Identificar y distinguir entre las partes del cuerpo en los movimientos (por ejemplo, pies y dedos de los pies).
PK-K;Danza;Seleccionar, analizar e interpretar obras artísticas para su presentación.;PK-KDP04; b. Concentrarse y perseguir un proceso o idea hasta su finalización durante las actividades de danza.
PK-K;Danza;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;PK-KDP05;Con indicaciones y apoyo, elija sus ideas de movimientos favoritos, practicándolas y demuéstrelas. (PK-KD3)
PK-K;Danza; Transmitir significado a través de la presentación de obras artísticas.;PK-KDP06; Movimientos de contraste en diferentes niveles (incluyendo alto, medio, bajo) y trayectorias (incluyendo curvas, rectas, circulares, en zigzag, onduladas, espirales).
PK-K;Danza; Percibir y analizar la obra artística;PK-KDR07;Mantener el espacio personal y general de forma segura y respetuosa (por ejemplo, detenerse, arrancar y controlar el propio cuerpo).
PK-K;Danza; Interpretar la intención y el significado en la obra artística;PK-KDR08; Realizar obras de danza cortas de forma expresiva.
PK-K;Danza; Aplicar criterios para evaluar el trabajo artístico;PK-KDR09; Cumplir con las expectativas de un miembro de la audiencia (por ejemplo, escuchar en silencio, aplaudir al final).
PK-K;Danza; Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;PK.KDCo.10; Articular respuestas personales a la danza (por ejemplo, ?esta pieza me hizo sentir? esta pieza me hizo pensar?).
PK-K;Danza; Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;PK.KDCo.11;" Compartir observaciones sobre una presentación de baile (por ejemplo, ""Noté que todos tuvieron un turno"")."
PK-K; Artes mediáticas;Generar y conceptualizar ideas y trabajos artísticos.;PK-K.MA.Cr.01; Identificar ejemplos de danza en su vida diaria.
PK-K; Artes mediáticas;Organizar y desarrollar ideas y trabajos artísticos.;PK-K.MA.Cr.02;Responder en movimiento a las señales musicales asociadas con varios estilos de baile (por ejemplo, tap, hip-hop, ballet, square).
PK-K; Artes mediáticas;Refinar y completar la obra artística;PK-K.MA.Cr.03; Explore imágenes en movimiento o arte interactivo utilizando una variedad de medios y herramientas.
