"dia","grado","asignatura","area","codigo","descripcion"
1,"K","Bible","Biblical Literacy","K.BL.1.a.i","I can sequence the key events in Creation."
2,"K","Bible","Biblical Literacy","K.BL.1.a.i","I can sequence the key events in Creation."
3,"K","Bible","Biblical Literacy","K.BL.1.a.i","I can sequence the key events in Creation."
4,"K","Bible","Biblical Literacy","K.BL.1.a.ii","I can sequence the key events in Abraham (God's promise of Isaac's birth)."
5,"K","Bible","Biblical Literacy","K.BL.1.a.ii","I can sequence the key events in Abraham (God's promise of Isaac's birth)."
6,"K","Bible","Biblical Literacy","K.BL.1.a.ii","I can sequence the key events in Abraham (God's promise of Isaac's birth)."
7,"K","Bible","Biblical Literacy","K.BL.1.a.iii","I can sequence the key events in David and Goliath."
8,"K","Bible","Biblical Literacy","K.BL.1.a.iii","I can sequence the key events in David and Goliath."
9,"K","Bible","Biblical Literacy","K.BL.1.a.iii","I can sequence the key events in David and Goliath."
10,"K","Bible","Biblical Literacy","K.BL.1.a.iv","I can sequence the key events in Jonah."
11,"K","Bible","Biblical Literacy","K.BL.1.a.iv","I can sequence the key events in Jonah."
12,"K","Bible","Biblical Literacy","K.BL.1.a.iv","I can sequence the key events in Jonah."
13,"K","Bible","Biblical Literacy","K.BL.1.b.i","I can explain what we can learn through the story of Mephibosheth."
14,"K","Bible","Biblical Literacy","K.BL.1.b.i","I can explain what we can learn through the story of Mephibosheth."
15,"K","Bible","Biblical Literacy","K.BL.1.b.ii","I can explain what we can learn through the story of David and Jonathan."
16,"K","Bible","Biblical Literacy","K.BL.1.b.ii","I can explain what we can learn through the story of David and Jonathan."
17,"K","Bible","Biblical Literacy","K.BL.1.b.iii","I can explain what we can learn through the story of Esther."
18,"K","Bible","Biblical Literacy","K.BL.1.b.iii","I can explain what we can learn through the story of Esther."
19,"K","Bible","Biblical Literacy","K.BL.1.c.i","I can retell the story of Jesus' birth using words, props or pictures."
20,"K","Bible","Biblical Literacy","K.BL.1.c.i","I can retell the story of Jesus' birth using words, props or pictures."
21,"K","Bible","Biblical Literacy","K.BL.1.c.i","I can retell the story of Jesus' birth using words, props or pictures."
22,"K","Bible","Biblical Literacy","K.BL.1.c.ii","I can retell the story of Jesus' death and resurrection using words, props or pictures."
23,"K","Bible","Biblical Literacy","K.BL.1.c.ii","I can retell the story of Jesus' death and resurrection using words, props or pictures."
24,"K","Bible","Biblical Literacy","K.BL.1.c.ii","I can retell the story of Jesus' death and resurrection using words, props or pictures."
25,"K","Bible","Biblical Literacy","K.BL.1.d.i","I can illustrate the main idea of the parable of The Good Samaritan."
26,"K","Bible","Biblical Literacy","K.BL.1.d.i","I can illustrate the main idea of the parable of The Good Samaritan."
27,"K","Bible","Biblical Literacy","K.BL.1.d.ii","I can illustrate the main idea of the parable of The Lost Sheep."
28,"K","Bible","Biblical Literacy","K.BL.1.d.ii","I can illustrate the main idea of the parable of The Lost Sheep."
29,"K","Bible","Biblical Literacy","K.BL.1.e","I can memorize the core Scripture verses (Genesis 1:1, Psalms 23:1, Romans 3:23)."
30,"K","Bible","Biblical Literacy","K.BL.1.e","I can memorize the core Scripture verses (Genesis 1:1, Psalms 23:1, Romans 3:23)."
31,"K","Bible","Spiritual Discernment","K.SD.2.a","I can explain that God is always with me even when things are hard or bad things happen (e.g. Joseph)."
32,"K","Bible","Spiritual Discernment","K.SD.2.a","I can explain that God is always with me even when things are hard or bad things happen (e.g. Joseph)."
33,"K","Bible","Spiritual Discernment","K.SD.2.b","I can model how singing praise songs to God is a way to worship Him (e.g. Thanksgiving)."
34,"K","Bible","Spiritual Discernment","K.SD.2.b","I can model how singing praise songs to God is a way to worship Him (e.g. Thanksgiving)."
35,"K","Bible","Spiritual Discernment","K.SD.2.c","I can describe ways that God has made me special (e.g. Jesus and the Children)."
36,"K","Bible","Spiritual Discernment","K.SD.2.c","I can describe ways that God has made me special (e.g. Jesus and the Children)."
37,"K","Bible","Biblical Worldview","K.BW.3.a","I know the Bible is God's Word (e.g. John and Jesus Fulfill Prophecy)."
38,"K","Bible","Biblical Worldview","K.BW.3.a","I know the Bible is God's Word (e.g. John and Jesus Fulfill Prophecy)."
39,"K","Bible","Life Application and Service","K.LAS.4.a","I can give examples of how to show respect to others."
40,"K","Bible","Life Application and Service","K.LAS.4.a","I can give examples of how to show respect to others."
41,"K","Bible","Life Application and Service","K.LAS.4.b","I can name ways to obey authority at home and school."
42,"K","Bible","Life Application and Service","K.LAS.4.b","I can name ways to obey authority at home and school."
43,"K","Bible","Life Application and Service","K.LAS.4.c","I can give examples of ways that I show kindness to others."
