"dia","grado","asignatura","area","codigo","descripcion"
1,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
2,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
3,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
4,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
5,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
6,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
7,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
8,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
9,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
10,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
11,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
12,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
13,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
14,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
15,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
16,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
17,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
18,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
