Grade;Area;Topic;Code;Description
K-2;Computing and Society;Safety and Security;K-2.CAS.a.1;Demonstrate proper ergonomics (e.g., body position, stretching) when using devices.
K-2;Computing and Society;Safety and Security;K-2.CAS.a.2;Use electrical devices safely and in moderation (e.g., unplug devices by pulling the plug rather than the cord, do not mix water/food and electric devices, avoid gaming and walking).
K-2;Computing and Society;Safety and Security;K-2.CAS.a.3;Care for devices appropriately (e.g., handling devices gently, completely shutting down devices when not in use, storing devices in the appropriate container).
K-2;Computing and Society;Safety and Security;K-2.CAS.a.4;Explain that a password helps protect the privacy of information.
K-2;Computing and Society;Safety and Security;K-2.CAS.a.5;Identify safe and unsafe examples of online communications.
K-2;Computing and Society;Safety and Security;K-2.CAS.a.6;Explain why we keep personal information (e.g., name, location, phone number, home address) private.
K-2;Computing and Society;Safety and Security;K-2.CAS.a.7;Identify which personal information (e.g., user name or real name, school name or home address) should and should not be shared online and with whom.
K-2;Computing and Society;Safety and Security;K-2.CAS.a.8;Explain why it is necessary to report inappropriate electronic content or contact.
K-2;Computing and Society;Ethics and Laws;K-2.CAS.b.1;Define good digital citizenship as using technology safely, responsibly, and ethically.
K-2;Computing and Society;Ethics and Laws;K-2.CAS.b.2;Demonstrate responsible use of computers, peripheral devices, and resources as outlined in school rules (Acceptable Use Policy [AUP] for K-2).
K-2;Computing and Society;Ethics and Laws;K-2.CAS.b.3;Explain that most digital artifacts have owners.
K-2;Computing and Society;Ethics and Laws;K-2.CAS.b.4;Explain the importance of giving credit to media creators/owners when using their work.
K-2;Computing and Society;Interpersonal and Societal Impact;K-2.CAS.c.1;Identify and describe how people (e.g., students, parents, police officers) use many types of technologies in their daily work and personal lives.
K-2;Computing and Society;Interpersonal and Societal Impact;K-2.CAS.c.2;Recognize when the purpose of content is to provide information or to influence you to act.
K-2;Digital Tools and Collaboration;Digital Tools;K-2.DTC.a.1;Operate a variety of digital tools (e.g., open/close, find, save/print, navigate, use input/output devices).
K-2;Digital Tools and Collaboration;Digital Tools;K-2.DTC.a.2;Identify, locate, and use letters, numbers, and special keys on a keyboard (e.g., Space Bar, Shift, Delete).
K-2;Digital Tools and Collaboration;Digital Tools;K-2.DTC.a.3;Create a simple digital artifact.
K-2;Digital Tools and Collaboration;Digital Tools;K-2.DTC.a.4;Use appropriate digital tools individually and collaboratively to create, review, and revise simple artifacts that include text, images and audio.
K-2;Digital Tools and Collaboration;Collaboration and Communication;K-2.DTC.b.1;Collaboratively use digital tools and media resources to communicate key ideas and details in a way that informs, persuades, and/or entertains.
K-2;Digital Tools and Collaboration;Collaboration and Communication;K-2.DTC.b.2;Use a variety of digital tools to exchange information and feedback with teachers.
K-2;Digital Tools and Collaboration;Collaboration and Communication;K-2.DTC.b.3;Use a variety of digital tools to present information to others.
K-2;Digital Tools and Collaboration;Research;K-2.DTC.c.1;Conduct basic keyword searches to gather information from teacher-provided digital sources (e.g., online library catalog, databases).
K-2;Digital Tools and Collaboration;Research;K-2.DTC.c.2;Create an artifact individually and collaboratively that answers a research question, while clearly expressing thoughts and ideas.
K-2;Digital Tools and Collaboration;Research;K-2.DTC.c.3;Acknowledge and name sources of information or media (e.g., title of book, author of book, website).
K-2;Computing Science;Computing Devices;K-2.CS.a.1;Identify different kinds of computing devices in the classroom and other places (e.g., laptops, tablets, smart phones, desktops).
K-2;Computing Science;Computing Devices;K-2.CS.a.2;Identify visible components of computing devices (e.g., keyboard, screen, monitor, printer, pointing device).
K-2;Computing Science;Computing Devices;K-2.CS.a.3;Explain that computing devices function when applications, programs, or commands are executed.
K-2;Computing Science;Computing Devices;K-2.CS.a.4;"Operate a variety of computing systems (e.g., turn on, use input/output devices such as a mouse, keyboard, or touch screen; find, navigate, launch a program)."
K-2;Computing Science;Human and Computer Partnerships;K-2.CS.b.1;Explain that computing devices are machines that are not alive, but can be used to help humans with tasks.
K-2;Computing Science;Human and Computer Partnerships;K-2.CS.b.2;Recognize that some tasks are best completed by humans and others by computing devices (e.g., a human might be able to rescue someone in a normal environment, but robots would be better to use in a dangerous environment).
K-2;Computing Science;Human and Computer Partnerships;K-2.CS.b.3;Recognize that different tools can solve the same problem (e.g., pen and paper, calculators, and smart phones can all be used to solve simple mathematical problems).
K-2;Computing Science;Networks;K-2.CS.c.1;Explain that networks link computers and devices locally and around the world allowing people to access and communicate information.
K-2;Computational Thinking;Abstraction;K-2.CT.a.1;List the attributes of a common object, for example, cars have a color, type (e.g., pickup, van, sedan), number of seats, etc.
K-2;Computational Thinking;Algorithms;K-2.CT.b.1;Define an algorithm as a sequence of defined steps.
K-2;Computational Thinking;Algorithms;K-2.CT.b.2;Create a simple algorithm, individually and collaboratively, without using computers to complete a task (e.g., making a sandwich, getting ready for school, checking a book out of the library).
K-2;Computational Thinking;Algorithms;K-2.CT.b.3;Enact an algorithm using tangible materials (e.g., manipulatives, your body) or present the algorithm in a visual medium (e.g., storyboard).
K-2;Computational Thinking;Data;K-2.CT.c.1;Identify different kinds of information (e.g., text, charts, graphs, numbers, pictures, audio, video, collections of objects).
K-2;Computational Thinking;Data;K-2.CT.c.2;Identify, research, and collect information on a topic, issue, problem, or question using age-appropriate digital technologies.
K-2;Computational Thinking;Data;K-2.CT.c.3;Individually and collaboratively propose a solution to a problem or question based on an analysis of information.
K-2;Computational Thinking;Data;K-2.CT.c.4;Individually and collaboratively create information visualizations (e.g., charts, infographics).
K-2;Computational Thinking;Data;K-2.CT.c.5;Explain that computers can save information as data that can be stored, searched, retrieved, and deleted.
K-2;Computational Thinking;Programming and Development;K-2.CT.d.1;Define a computer program as a set of commands created by people to do something.
K-2;Computational Thinking;Programming and Development;K-2.CT.d.2;Explain that computers only follow the program?s instructions.
K-2;Computational Thinking;Programming and Development;K-2.CT.d.3;Individually or collaboratively create a simple program using visual instructions or tools that do not require a textual programming language (e.g., ?unplugged? programming activities, a block-based programming language).
K-2;Computational Thinking;Modeling and Simulation;K-2.CT.e.1;Describe how models represent a real-life system (e.g., globe, map, solar system, digital elevation model, weather map).
K-2;Computational Thinking;Modeling and Simulation;K-2.CT.e.2;Define simulation and identify the concepts illustrated by a simple simulation (e.g., growth and health, butterfly life cycle).
03-may;Computing and Society;Safety and Security;3-5.CAS.a.1;Describe how to use proper ergonomics (e.g., body position, lighting, positioning of equipment, taking breaks) when using devices.
03-may;Computing and Society;Safety and Security;3-5.CAS.a.2;Describe the threats to safe and efficient use of devices (e.g., SPAM, spyware, phishing, viruses) associated with various forms of technology use (e.g., downloading and executing software programs, following hyperlinks, opening files).
03-may;Computing and Society;Safety and Security;3-5.CAS.a.3;Identify appropriate and inappropriate uses of technology when posting to social media, sending e-mail or texts, and browsing the Internet.
03-may;Computing and Society;Safety and Security;3-5.CAS.a.4;Explain the proper use and operation of security technologies (e.g., passwords, virus protection software, spam filters, popup blockers, cookies).
03-may;Computing and Society;Safety and Security;3-5.CAS.a.5;Describe ways to employ safe practices and avoid the potential risks/dangers associated with various forms of online communications, downloads, linking, Internet purchases, advertisements, and inappropriate content within constrained environments.
03-may;Computing and Society;Safety and Security;3-5.CAS.a.6;Identify different types of cyberbullying (e.g., harassment, flaming, excluding people, outing, and impersonation).
03-may;Computing and Society;Safety and Security;3-5.CAS.a.7;Explain that if you encounter cyberbullying or other inappropriate content, you should immediately tell a responsible adult (e.g., teacher, parent).
03-may;Computing and Society;Ethics and Laws;3-5.CAS.b.1;Demonstrate responsible use of computers, peripheral devices, and resources as outlined in school rules (Acceptable Use Policy [AUP]).
03-may;Computing and Society;Ethics and Laws;3-5.CAS.b.2;Describe the difference between digital artifacts that are open or free and those that are protected by copyright.
03-may;Computing and Society;Ethics and Laws;3-5.CAS.b.3;Explain the guidelines for the fair use of downloading, sharing, or modifying of digital artifacts
03-may;Computing and Society;Ethics and Laws;3-5.CAS.b.4;Describe the purpose of copyright and the possible consequences for inappropriate use of digital artifacts that are protected by copyright.
03-may;Computing and Society;Ethics and Laws;3-5.CAS.b.5;Explain that laws exist (e.g., Section 508, Telecommunication Act of 1996) that help ensure that people with disabilities can access electronic and information technology.
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.1;Explain the different forms of web advertising (e.g., search ads, pay-per-click ads, banner ads, targeted ads, in-game ads, e-mail ads).
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.2;Explain why websites, digital resources, and artifacts may include advertisements and collect personal information.
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.3;Define the digital divide as unequal access to technology on the basis of differences, such as income, education, age, and geographic location.
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.4;Use critical thinking to explain how access to technology helps empower individuals and groups (e.g., gives them access to information, the ability to communicate with others around the world, allows them to buy and sell things).
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.5;Identify resources in the community that can give people access to technology (e.g., libraries, community centers, education programs, schools, hardware/software donation programs).
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.6;Identify ways in which people with disabilities access and use technology (e.g., audio players and recorders, FM listening systems, magnifiers).
03-may;Computing and Society;Interpersonal and Societal Impact;3-5.CAS.c.7;Identify the impact of social media and cyberbullying on individuals, families, and society.
03-may;Digital Tools and Collaboration;Digital Tools;3-5.DTC.a.1;Type five words-per-minute times grade level (e.g., for Grade 5, type 25 words/minute).
03-may;Digital Tools and Collaboration;Digital Tools;3-5.DTC.a.2;Navigate between local, networked, or online/cloud environments and transfer files between each (upload/download).
