Grau;Área;Emitir;Código;Descrição
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.1;Demonstre a ergonomia adequada (por exemplo, posição do corpo, alongamento) ao usar os dispositivos.
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.2;Utilize aparelhos elétricos com segurança e moderação (por exemplo, desligue os aparelhos puxando pelo plugue em vez do fio, não misture água/alimentos com aparelhos elétricos, evite brincar e caminhar ao mesmo tempo).
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.3;Cuide adequadamente dos dispositivos (por exemplo, manuseie-os com cuidado, desligue-os completamente quando não estiverem em uso e guarde-os no recipiente apropriado).
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.4;Explique que uma senha ajuda a proteger a privacidade das informações.
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.5;Identifique exemplos de comunicações online seguras e inseguras.
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.6;Explique por que mantemos informações pessoais em sigilo (por exemplo, nome, localização, número de telefone, endereço residencial).
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.7;Identifique quais informações pessoais (por exemplo, nome de usuário ou nome verdadeiro, nome da escola ou endereço residencial) devem e não devem ser compartilhadas online, e com quem.
K-2;Computação e sociedade;Segurança e proteção;K-2.CAS.a.8;Explique por que é necessário denunciar conteúdo ou contatos eletrônicos inadequados.
K-2;Computação e sociedade;Ética e leis;K-2.CAS.b.1;Defina boa cidadania digital como o uso seguro, responsável e ético da tecnologia.
K-2;Computação e sociedade;Ética e leis;K-2.CAS.b.2;Demonstrar o uso responsável de computadores, dispositivos periféricos e recursos, conforme descrito nas normas da escola (Política de Uso Aceitável [PUA] para o Ensino Fundamental I).
K-2;Computação e sociedade;Ética e leis;K-2.CAS.b.3;Explique que a maioria dos artefatos digitais tem proprietários.
K-2;Computação e sociedade;Ética e leis;K-2.CAS.b.4;Explique a importância de dar crédito aos criadores/proprietários da mídia ao usar seus trabalhos.
K-2;Computação e sociedade;Impacto interpessoal e social;K-2.CAS.c.1;Identifique e descreva como as pessoas (por exemplo, estudantes, pais, policiais) utilizam diversos tipos de tecnologias em seu trabalho diário e em suas vidas pessoais.
K-2;Computação e sociedade;Impacto interpessoal e social;K-2.CAS.c.2;Saiba reconhecer quando o objetivo do conteúdo é fornecer informações ou influenciá-lo a tomar uma ação.
K-2;Ferramentas digitais e colaboração;Ferramentas digitais;K-2.DTC.a.1;Operar diversas ferramentas digitais (por exemplo, abrir/fechar, pesquisar, salvar/imprimir, navegar, usar dispositivos de entrada/saída).
K-2;Ferramentas digitais e colaboração;Ferramentas digitais;K-2.DTC.a.2;Identificar, localizar e usar letras, números e teclas especiais em um teclado (por exemplo, barra de espaço, Shift, Delete).
K-2;Ferramentas digitais e colaboração;Ferramentas digitais;K-2.DTC.a.3;Crie um artefato digital simples.
K-2;Ferramentas digitais e colaboração;Ferramentas digitais;K-2.DTC.a.4;Utilizar ferramentas digitais apropriadas, individualmente e em colaboração, para criar, revisar e corrigir artefatos simples que incluam texto, imagens e áudio.
