Grado;Área;Tema;Código;Descripción
Estándares de anclaje;Lectura;Ideas clave y detalles;R.PK-12.1;"Leer atentamente para determinar lo que dice un texto explícitamente y hacer inferencias lógicas a partir de ello; citar evidencia textual específica al escribir o hablar para respaldar conclusiones extraídas de un texto."
Estándares de anclaje;Lectura;Ideas clave y detalles;R.PK-12.2;"Determinar las ideas o temas centrales de un texto y analizar su desarrollo; resumir los detalles e ideas clave que los apoyan."
Estándares de anclaje;Lectura;Ideas clave y detalles;R.PK-12.3;Analizar cómo y por qué los individuos, los eventos y las ideas se desarrollan e interactúan a lo largo de un texto.
Estándares de anclaje;Lectura;Artesanía y estructura;R.PK-12.4;Interpretar palabras y frases tal como se utilizan en un texto, lo que incluye determinar significados técnicos, connotativos y figurativos, y analizar cómo la elección de palabras específicas da forma al significado o al tono.
Estándares de anclaje;Lectura;Artesanía y estructura;R.PK-12.5;Analizar la estructura de los textos, incluyendo cómo oraciones específicas, párrafos y porciones más grandes del texto se relacionan entre sí y con el todo.
Estándares de anclaje;Lectura;Artesanía y estructura;R.PK-12.6;Evaluar cómo el punto de vista o el propósito dan forma al contenido y al estilo de un texto.
Estándares de anclaje;Lectura;Integración de conocimientos e ideas;R.PK-12.7;"Integrar y evaluar contenido presentado en diversos medios y formatos, incluyendo visuales, cuantitativos y orales. [Nota: Consulte ""Investigación para construir y presentar conocimientos"" en Escritura y ""Comprensión y colaboración"" en Expresión oral y auditiva]."
Estándares de anclaje;Lectura;Integración de conocimientos e ideas;R.PK-12.8;Delinear y evaluar el argumento y las afirmaciones específicas en un texto, incluyendo la validez del razonamiento así como la relevancia y suficiencia de la evidencia.
Estándares de anclaje;Lectura;Integración de conocimientos e ideas;R.PK-12.9;Analizar cómo dos o más textos abordan temas o tópicos similares con el fin de construir conocimiento o comparar los enfoques que adoptan los autores.
Estándares de anclaje;Lectura;Rango de lectura y nivel de complejidad del texto;R.PK-12.10;Leer y comprender de forma independiente y competente textos literarios e informativos complejos.
Estándares de anclaje;Escritura;Tipos de texto y propósitos;W.PK-12.1;Redactar argumentos para sustentar afirmaciones en un análisis de temas o textos sustanciales, utilizando razonamiento válido y evidencia relevante y suficiente.
Estándares de anclaje;Escritura;Tipos de texto y propósitos;W.PK-12.2;Redactar textos informativos/explicativos para examinar y transmitir ideas e información complejas de forma clara y precisa a través de la selección, organización y análisis efectivos del contenido.
Estándares de anclaje;Escritura;Tipos de texto y propósitos;W.PK-12.3;Escribir narraciones para desarrollar experiencias o eventos utilizando técnicas literarias efectivas, detalles bien elegidos y secuencias bien estructuradas.
Estándares de anclaje;Escritura;Producción y distribución de escritos;W.PK-12.4;Producir una escritura clara y coherente en la que el desarrollo, la organización y el estilo sean apropiados a la tarea, el propósito y la audiencia.
Estándares de anclaje;Escritura;Producción y distribución de escritos;W.PK-12.5;Desarrollar y fortalecer la escritura según sea necesario mediante la planificación, revisión, edición, reescritura o probando un nuevo enfoque.
Estándares de anclaje;Escritura;Producción y distribución de escritos;W.PK-12.6;Utilizar la tecnología para producir y publicar escritos y para interactuar y colaborar con otros.
Estándares de anclaje;Escritura;Investigación para construir y presentar conocimiento;W.PK-12.7;Realizar proyectos de investigación tanto cortos como más sostenidos basados en preguntas específicas, demostrando comprensión del tema bajo investigación.
Estándares de anclaje;Escritura;Investigación para construir y presentar conocimiento;W.PK-12.8;Al realizar una investigación, recopile información relevante de múltiples fuentes impresas y digitales, evalúe la credibilidad y precisión de cada fuente e integre la información evitando el plagio.
Estándares de anclaje;Escritura;Investigación para construir y presentar conocimiento;W.PK-12.9;Extraer evidencia de textos literarios o informativos para respaldar el análisis, la interpretación, la reflexión y la investigación.
Estándares de anclaje;Escritura;Rango de escritura;W.PK-12.10;Escriba de manera rutinaria durante períodos de tiempo prolongados (tiempo para investigar, reflexionar y revisar) y períodos de tiempo más cortos (una sola sesión o un día o dos) para una variedad de tareas, propósitos y audiencias.
