Grado;Área;Tema;Código;Descripción
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.1; Identificar situaciones en las que es necesario tomar una decisión relacionada con la nutrición (por ejemplo, al probar nuevos alimentos, elegir refrigerios y bebidas, desayunar). [HPE]
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.2;Articular, con la guía de un adulto, opciones nutricionales en situaciones comunes e identificar decisiones que se pueden tomar de forma independiente (por ejemplo, pedir opciones más saludables) o cuando se necesita ayuda (por ejemplo, controlar una alergia alimentaria). [HPE]
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.3;Identificar que los alimentos son la forma preferida de obtener nutrientes (a diferencia de los suplementos) y proporcionan energía al cuerpo, identificar la contribución principal de cada grupo de alimentos al cuerpo y proporcionar ejemplos de alimentos dentro de los grupos de alimentos para respaldar la toma de decisiones informada. [HPE]
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.4;Explicar los alimentos y los hábitos alimentarios que promueven la salud en términos equitativos (por ejemplo, todas las personas necesitan acceso a los alimentos, el agua limpia es necesaria, los supermercados son importantes para las comunidades y su salud, acceso, necesidades y preferencias varían). [HPE]
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.5; Explicar los beneficios de las opciones y los hábitos alimentarios que promueven la salud (por ejemplo, alimentación equilibrada, mantenerse hidratado, comer frutas y verduras, comer alimentos ricos en nutrientes, comer una variedad de alimentos, limitar los alimentos con alto contenido de azúcar agregada, estar consciente de las señales de hambre y sed).
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.6;Describa cómo los alimentos que consumen los estudiantes pueden reflejar su zona de residencia o sus antecedentes culturales, la forma en que sus familias usan o producen los alimentos, cómo las comidas y las tradiciones culinarias familiares los benefician, sus diferentes necesidades dietéticas (p. ej., alergias alimentarias, restricciones dietéticas) y cómo contribuyen a las decisiones nutricionales. [HPE]
Pre-K-2;Nutrición y alimentación equilibrada; Toma de decisiones y resolución de problemas: tomar decisiones informadas, responsables y que promuevan la salud, y resolver problemas en una variedad de situaciones relacionadas con la salud.;2.1.NE.7;Reconocer que los medios de comunicación (por ejemplo, dibujos animados, personajes, anuncios, colocación de productos) pueden influir en las decisiones relacionadas con los alimentos. [HPE]
Pre-K-2;Salud mental y emocional;Autogestión y establecimiento de objetivos: establecer objetivos, adoptar conductas que promuevan la salud y evitar conductas de riesgo.;2.2.MH.1;"Demostrar autocontrol (p. ej., retrasar la gratificación, esperar su turno) solo o con el apoyo de adultos en una variedad de entornos típicos (p. ej., en el patio de recreo, en el aula, durante la educación física, en una asamblea). [HPE; SE]"
Pre-K-2;Salud mental y emocional;Autogestión y establecimiento de objetivos: establecer objetivos, adoptar conductas que promuevan la salud y evitar conductas de riesgo.;2.2.MH.2;"Definir el estrés y demostrar estrategias para manejarlo (por ejemplo, diálogo interno positivo, respiración abdominal, hablar con un adulto de confianza, escuchar música relajante, jugar, actividad física) solo o con el apoyo de adultos. [HPE; SE]"
Pre-K-2;Salud mental y emocional;Autogestión y establecimiento de objetivos: establecer objetivos, adoptar conductas que promuevan la salud y evitar conductas de riesgo.;2.2.MH.3;"Identificar lo que significa ser responsable y enumerar las responsabilidades personales. [HPE; SE]"
Pre-K-2;Salud mental y emocional;Autogestión y establecimiento de objetivos: establecer objetivos, adoptar conductas que promuevan la salud y evitar conductas de riesgo.;2.2.MH.4;"Utilice un diálogo interno positivo y sencillo con el fin de motivarse y modificar la conducta. [HPE; SE]"
Pre-K-2;Salud mental y emocional;Autogestión y establecimiento de objetivos: establecer objetivos, adoptar conductas que promuevan la salud y evitar conductas de riesgo.;2.2.MH.5;"Identificar objetivos simples para la salud, la actividad física, el éxito académico y el comportamiento en el aula. [HPE; SE]"
