Grau;Área;Emitir;Código;Descrição
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.1;Identificar situações em que é necessário tomar uma decisão relacionada à nutrição (por exemplo, ao experimentar novos alimentos, escolher lanches e bebidas, tomar o café da manhã). [HPE]
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.2;Articular, com a orientação de um adulto, escolhas nutricionais em situações comuns e identificar decisões que podem ser tomadas de forma independente (por exemplo, pedir opções mais saudáveis) ou quando é necessário auxílio (por exemplo, lidar com uma alergia alimentar). [HPE]
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.3;Identificar que os alimentos são a forma preferencial de obter nutrientes (em oposição a suplementos) e fornecem energia ao corpo, identificar a principal contribuição de cada grupo alimentar para o corpo e fornecer exemplos de alimentos dentro dos grupos alimentares para apoiar a tomada de decisões informadas. [HPE]
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.4;Explique os alimentos e hábitos alimentares que promovem a saúde em termos equitativos (por exemplo, todos precisam ter acesso a alimentos, água potável é necessária, os supermercados são importantes para as comunidades e a saúde, o acesso, as necessidades e as preferências variam). [HPE]
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.5; Explique os benefícios de escolhas e hábitos alimentares saudáveis (por exemplo, dieta equilibrada, manter-se hidratado, comer frutas e vegetais, comer alimentos ricos em nutrientes, comer uma variedade de alimentos, limitar alimentos com alto teor de açúcar adicionado, estar atento aos sinais de fome e sede).
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.6;Descreva como os alimentos que os alunos consomem podem refletir sua área de residência ou contexto cultural, como suas famílias usam ou produzem alimentos, como as refeições em família e as tradições culinárias os beneficiam, suas diferentes necessidades alimentares (por exemplo, alergias alimentares, restrições alimentares) e como esses fatores contribuem para as decisões nutricionais. [HPE]
Pré-escola ao 2º ano;Nutrição e dieta equilibrada; Tomada de decisões e resolução de problemas: tomar decisões informadas, responsáveis e que promovam a saúde, e resolver problemas em diversas situações relacionadas à saúde.;2.1.NE.7;Reconheça que a mídia (por exemplo, desenhos animados, personagens, anúncios, merchandising) pode influenciar as decisões relacionadas à alimentação. [HPE]
Pré-escola ao 2º ano;Saúde mental e emocional;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.MH.1;"Demonstrar autocontrole (por exemplo, adiar a gratificação, esperar a sua vez) sozinho ou com o apoio de um adulto em diversos contextos típicos (por exemplo, no recreio, na sala de aula, durante as aulas de educação física, numa assembleia). [HPE; SE]"
Pré-escola ao 2º ano;Saúde mental e emocional;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.MH.2;"Defina estresse e demonstre estratégias para gerenciá-lo (por exemplo, diálogo interno positivo, respiração abdominal, conversar com um adulto de confiança, ouvir música relaxante, brincar, atividade física) sozinho ou com o apoio de um adulto. [HPE; SE]"
Pré-escola ao 2º ano;Saúde mental e emocional;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.MH.3;"Identifique o que significa ser responsável e liste suas responsabilidades pessoais. [HPE; SE]"
Pré-escola ao 2º ano;Saúde mental e emocional;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.MH.4;"Use uma conversa interna positiva e simples para se motivar e modificar seu comportamento. [HPE; SE]"
Pré-escola ao 2º ano;Saúde mental e emocional;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.MH.5;"Identifique metas simples para saúde, atividade física, sucesso acadêmico e comportamento em sala de aula. [HPE; SE]"
Pré-escola ao 2º ano;Saúde física e higiene;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PH.1;Identifique uma variedade de hábitos que podem promover a saúde das crianças (por exemplo, escovar os dentes, ter uma alimentação adequada, ir ao médico, dormir o suficiente, ser fisicamente ativo, limitar o tempo de tela, lavar as mãos, etc.). [HPE]
Pré-escola ao 2º ano;Saúde física e higiene;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PH.2;"Explique como um jovem pode manter ou melhorar a saúde do corpo e da mente. [HPE; SE]"
Pré-escola ao 2º ano;Saúde física e higiene;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PH.3;Use nomes medicamente corretos para as partes do corpo, incluindo os genitais, ao comunicar informações sobre seu corpo e saúde física. [HPE]
Pré-escola ao 2º ano;Saúde física e higiene;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PH.4;Demonstrar independência em práticas promotoras de saúde, como lavar as mãos, escovar os dentes corretamente, espirrar e tossir no cotovelo, praticar atividade física e usar e descartar lenços de papel adequadamente. [HPE]
Pré-escola ao 2º ano;Saúde física e higiene;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PH.5;Defina uma meta simples relacionada a hábitos de saúde física e monitore seu progresso em direção a essa meta com a ajuda de um adulto. [HPE]
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.1;Aplique estratégias para se manter seguro em diversas situações (por exemplo, no parque infantil, durante as aulas de educação física, perto da água, ao usar equipamentos de recreação com rodas, como pedestre, perto de fogões ou fogo, no ônibus, em filas, perto de armas ou em situações de violência armada) e determine quando relatar situações inseguras a um adulto. [HPE]
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.2;Forneça exemplos de como as regras podem manter as crianças seguras e identifique regras que as ajudem a se manterem seguras em diversas situações (por exemplo, relacionadas a medicamentos, segurança em parques infantis, educação física, ameaças de violência, espaço pessoal e limites). [HPE]
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.3;Demonstrar como reagir (por exemplo, gritar, afastar-se, alertar um adulto, pedir ajuda) e obter ajuda em diversas situações de emergência, incluindo quando e como ligar para o 911.
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.4;Identifique adultos de confiança em quem você possa se abrir e lugares para onde ir caso se sinta pessoalmente ameaçado(a) (por exemplo, se alguém disser que vai te machucar ou te fazer mal).
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.5;"Demonstrar a capacidade de pedir ajuda a um adulto de confiança (incluindo para resolução de problemas) em diversas situações. [HPE; SE]"
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.6;Reconhecer o contato físico seguro, inseguro e inadequado e demonstrar como informar um adulto de confiança caso isso aconteça.
Pré-escola ao 2º ano;Segurança pessoal;Autogestão e definição de metas: estabelecer objetivos, adotar comportamentos que promovam a saúde e evitar comportamentos de risco.;2.2.PS.7;Identificar e praticar comportamentos de segurança pessoal: dizer não, afastar-se, contar a um adulto. [HE]
