Grade;Area;Topic;Code;Description
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 1: Civics: fairness, friendship, responsibility, and respect;HSS.Pre-K.T1.01;With prompting and support, give reasons for rules in the classroom and at home.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 1: Civics: fairness, friendship, responsibility, and respect;HSS.Pre-K.T1.02;With prompting and support, follow agreed-upon rules, limits, and expectations.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 1: Civics: fairness, friendship, responsibility, and respect;HSS.Pre-K.T1.03;Show willingness to take on responsibilities (e.g., being a helper or a leader).
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 1: Civics: fairness, friendship, responsibility, and respect;HSS.Pre-K.T1.04;With prompting and support, ask and answer questions about literature and informational social studies texts read aloud, and act out or give examples of characters who show fairness, friendship, kindness, responsibility, and respect for one another.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 2: Geography: maps and places;HSS.Pre-K.T2.01;With prompting and support, describe location of people, animals, objects, and places, using words and phrases such as up, down, on, off, close, far away, beside, inside, next to, close to, above, below, apart correctly.For example, a student describes the place where his uncle lives as being ?far away? and names the city or town, state, or country. Another student describes two buildings in a photograph as ?next to? one another. Note that the pre-k standards for mathematics in the Massachusetts Mathematics Framework also ask students to identify relative positions of objects in space, using appropriate language.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 2: Geography: maps and places;HSS.Pre-K.T2.02;With prompting and support, explain what a map or another kind of representation of a place can show.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 2: Geography: maps and places;HSS.Pre-K.T2.03;With guidance and support, use a combination of drawing, building with blocks or other materials, or dictating to construct maps and other representations of familiar places.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 3: History: personal experiences and memories;HSS.Pre-K.T3.01;With guidance and support, recall and describe events that happened in the classroom or in a story, using words and phrases relating to chronology and time, including first, next, last (e.g., describe something that happened yesterday or last week).
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 3: History: personal experiences and memories;HSS.Pre-K.T3.02;With guidance and support, explain how the concepts of days, weeks, and months relate to the passage of time.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 3: History: personal experiences and memories;HSS.Pre-K.T3.03;With guidance and support, participate in short shared research projects to gather information about traditions of people of diverse backgrounds.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 4: Economics: work and commerce (shared with kindergarten);HSS.Pre-K.T4.01;With prompting and support, describe some things people do when they work inside and outside of the home, drawing on personal experience, literature, and informational texts.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 4: Economics: work and commerce (shared with kindergarten);HSS.Pre-K.T4.02;With prompting and support, ask and answer questions about buying, selling or trading something and explain how people make choices about the things they need and want.
 PK;  Building a Foundation for Living, Learning, and Working Together;Topic 4: Economics: work and commerce (shared with kindergarten);HSS.Pre-K.T4.03;With prompting and support, give examples from personal experience, literature, or informational texts of goods and services that people purchase with money they earn.
K; Many Roles in Living, Learning, and Working Together;Topic 1: Civics: classroom citizenship;HSS.K.T1.01;"Understand and follow rules, limits, and expectations with minimal prompting and assistance; with prompting and support, ask and answer questions about the reasons for rules."
K; Many Roles in Living, Learning, and Working Together;Topic 1: Civics: classroom citizenship;HSS.K.T1.02;Take on responsibilities and follow through on them, being helpful to and respectful of others (e.g., volunteer for and carry out tasks in the classroom and at home).
K; Many Roles in Living, Learning, and Working Together;Topic 1: Civics: classroom citizenship;HSS.K.T1.03;With prompting and support, give examples from literature and informational texts read or read aloud of characters who show authority, fairness, caring, justice, responsibility, or who show how rules are created and followed
K; Many Roles in Living, Learning, and Working Together;Topic 1: Civics: classroom citizenship;HSS.K.T1.04;"Ask and answer questions and explore books to gain information about national symbols, songs, and texts of the United States:

a. why the flag of United States of America is red, white, and blue and has stars and stripes
b. why the Bald Eagle is the national emblem of United States
c. why ?The Star-Spangled Banner? is the national anthem of the United Statesd. what the words of the ?Pledge of Allegiance? mean Clarification Statement: Teachers should explore the history and stories surrounding the national symbols to build contextual understanding of their significance. Knowledge of symbols and songs should be shared between grades k and 1."
K; Many Roles in Living, Learning, and Working Together;Topic 2: Geography: connections among places;HSS.K.T2.01;Describe the location of people, objects, and places, using correctly words and phrases such as up, down, near, far, left, right, straight, back, behind, in front of, next to, between. For example, a student describes the location of his classroom as being ?near the office, straight down the hall next the library.? Note that the kindergarten standards of the Massachusetts Mathematics Framework also ask students to describe the relative positions of objects using accurate vocabulary.
K; Many Roles in Living, Learning, and Working Together;Topic 2: Geography: connections among places;HSS.K.T2.02;With support, explain the similarities and differences between maps and globes.
K; Many Roles in Living, Learning, and Working Together;Topic 2: Geography: connections among places;HSS.K.T2.03;Identify the elements of a physical address, including the street name and number, the city or town, the state (Massachusetts) and the country (United States).
K; Many Roles in Living, Learning, and Working Together;Topic 2: Geography: connections among places;HSS.K.T2.04;"With support, on a state map, find the city or town where the student?s school is located; on a street map of the city or town, find the location of the student?s school."
