Grau;Área;Emitir;Código;Descrição
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tema 1: Educação cívica: justiça, amizade, responsabilidade e respeito;HSS.Pré-K.T1.01;Com orientação e apoio, explique as razões por trás das regras na sala de aula e em casa.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tema 1: Educação cívica: justiça, amizade, responsabilidade e respeito;HSS.Pré-K.T1.02;Com orientação e apoio, siga as regras, limites e expectativas acordados.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tema 1: Educação cívica: justiça, amizade, responsabilidade e respeito;HSS.Pré-K.T1.03;Demonstre disposição para assumir responsabilidades (por exemplo, ser um ajudante ou um líder).
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tema 1: Educação cívica: justiça, amizade, responsabilidade e respeito;HSS.Pré-K.T1.04;Com orientação e apoio, faça e responda perguntas sobre textos informativos de literatura e estudos sociais lidos em voz alta, e represente ou dê exemplos de personagens que demonstram justiça, amizade, bondade, responsabilidade e respeito mútuo.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 2: Geografia: mapas e lugares;HSS.Pré-K.T2.01;"Com dicas e apoio, descreva a localização de pessoas, animais, objetos e lugares, usando corretamente palavras e frases como em cima, em baixo, acima de, longe, ao lado de, dentro, próximo de, perto de, acima de, embaixo de e separado. Por exemplo, um aluno descreve onde seu tio mora como ""longe"" e menciona a cidade, o estado ou o país. Outro aluno descreve dois prédios em uma fotografia como ""juntos"". Observe que os padrões de matemática para a pré-escola do Currículo de Matemática de Massachusetts também exigem que os alunos identifiquem as posições relativas dos objetos no espaço, usando linguagem apropriada."
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 2: Geografia: mapas e lugares;HSS.Pré-K.T2.02;Com orientação e apoio, explique o que um mapa ou outro tipo de representação de um lugar pode mostrar.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 2: Geografia: mapas e lugares;HSS.Pré-K.T2.03;Com orientação e apoio, utilize uma combinação de desenho, construção com blocos ou outros materiais, ou ditado para construir mapas e outras representações de lugares familiares.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 3: História: experiências e memórias pessoais;HSS.Pré-K.T3.01;Com orientação e apoio, recordar e descrever eventos que aconteceram na sala de aula ou em uma história, usando palavras e frases relacionadas à cronologia e ao tempo, incluindo primeiro, depois, por último (por exemplo, descrever algo que aconteceu ontem ou na semana passada).
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 3: História: experiências e memórias pessoais;HSS.Pré-K.T3.02;Com orientação e apoio, explique como os conceitos de dias, semanas e meses se relacionam com a passagem do tempo.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 3: História: experiências e memórias pessoais;HSS.Pré-K.T3.03;Com orientação e apoio, participe em projetos de pesquisa colaborativa de curta duração para recolher informações sobre as tradições de pessoas de diferentes origens.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 4: Economia: trabalho e comércio (compartilhado com o jardim de infância);HSS.Pré-K.T4.01;Com orientação e apoio, descreva algumas atividades que as pessoas realizam quando trabalham dentro e fora de casa, com base em sua experiência pessoal, na literatura e em textos informativos.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 4: Economia: trabalho e comércio (compartilhado com o jardim de infância);HSS.Pré-K.T4.02;Com orientação e apoio, faça e responda perguntas sobre compra, venda ou troca de objetos e explique como as pessoas tomam decisões sobre as coisas de que precisam e desejam.
 PK; Construindo uma base para viver, aprender e trabalhar juntos.;Tópico 4: Economia: trabalho e comércio (compartilhado com o jardim de infância);HSS.Pré-K.T4.03;Com orientação e apoio, dê exemplos de sua experiência pessoal, literatura ou textos informativos sobre bens e serviços que as pessoas compram com o dinheiro que ganham.
