Grade;Area;Topic;Code;Description
PK;Counting and Cardinality;Know number names and the counting sequence.;PK.CC.A.1;Listen to and say the names of numbers in meaningful contexts.
PK;Counting and Cardinality;Know number names and the counting sequence.;PK.CC.A.2;Recognize and name written numerals 0?10.
PK;Counting and Cardinality;Count to tell the number of objects.;PK.CC.B.3;Understand the relationships between numerals and quantities up to 10.
PK;Counting and Cardinality;Compare numbers.;PK.CC.C.4;Count many kinds of concrete objects and actions up to ten, using one-to-one correspondence, and accurately count as many as seven things in a scattered configuration. Recognize the ?one more,? ?one less? patterns.
PK;Counting and Cardinality;Compare numbers.;PK.CC.C.5;Use comparative language, such as more/less than, equal to, to compare and describe collections of objects.
PK;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;PK.OA.A.1;Use concrete objects to model real-world addition (putting together) and subtraction (taking away) problems up through five.
PK;Measurement and Data;Describe and compare measurable attributes.;PK.MD.A.1;Recognize the attributes of length, area, weight, and capacity of everyday objects using appropriate vocabulary (e.g., long, short, tall, heavy, light, big, small, wide, narrow).
PK;Measurement and Data;Describe and compare measurable attributes.;PK.MD.A.2;"Compare the attributes of length and weight for two objects, including longer/shorter, same length; heavier/lighter, same weight; holds more/less, holds the same amount."
PK;Measurement and Data;Classify objects and count the number of objects in each category.;PK.MD.B.3;Sort, categorize, and classify objects by more than one attribute.
PK;Measurement and Data;Work with money.;PK.MD.C.4;Recognize that certain objects are coins and that dollars and coins represent money.
PK;Geometry;Identify and describe shapes (squares, circles, triangles, rectangles).;PK.G.A.1;Identify relative positions of objects in space, and use appropriate language (e.g., beside, inside, next to, close to, above, below, apart).
PK;Geometry;Identify and describe shapes (squares, circles, triangles, rectangles).;PK.G.A.2;Identify various two-dimensional shapes using appropriate language.
PK;Geometry;Analyze, compare, create, and compose shapes.;PK.G.B.3;Create and represent three-dimensional shapes (ball/sphere, square box/cube, tube/cylinder) using various manipulative materials (such as Popsicle sticks, blocks, pipe cleaners, pattern blocks).
K;Counting and Cardinality;Know number names and the count sequence.;K.CC.A.1;Count to 100 by ones and by tens.
K;Counting and Cardinality;Know number names and the count sequence.;K.CC.A.2;Count forward beginning from a given number within the known sequence (instead of having to begin at one).
K;Counting and Cardinality;Know number names and the count sequence.;K.CC.A.3;Write numbers from 0 to 20. Represent a number of objects with a written numeral 0?20 (with 0 representing a count of no objects).
K;Counting and Cardinality;Count to tell the number of objects.;K.CC.B.4;"Understand the relationship between numbers and quantities; connect counting to cardinality."
K;Counting and Cardinality;Count to tell the number of objects.;K.CC.B.4.a;When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.
K;Counting and Cardinality;Count to tell the number of objects.;K.CC.B.4.b;Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.
K;Counting and Cardinality;Count to tell the number of objects.;K.CC.B.4.c;Understand that each successive number name refers to a quantity that is one larger.  Recognize the one more pattern of counting using objects.
K;Counting and Cardinality;Count to tell the number of objects.;K.CC.B.5;"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects."
K;Counting and Cardinality;Compare numbers.;K.CC.C.6;Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group for groups with up to 10 objects, e.g., by using matching and counting strategies.
K;Counting and Cardinality;Compare numbers.;K.CC.C.7;Compare two numbers between 1 and 10 presented as written numerals.
K;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;K.OA.A.1;Represent addition and subtraction with objects, fingers, mental images, drawings , sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.˜ [Note: Drawings need not show details, but should show the mathematics in the problem.˜ (This applies wherever drawings are mentioned in the standards.)]
K;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;K.OA.A.2;Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.
K;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;K.OA.A.3;Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).
K;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;K.OA.A.4;For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.
K;Operations and Algebraic Thinking;Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.;K.OA.A.5;Fluently add and subtract within 5, including zero
