Grado;Área;Tema;Código;Descripción
PK;Conteo y cardinalidad;Conozca los nombres de los números y la secuencia de conteo.;PK.CC.A.1;Escuchar y decir los nombres de los números en contextos significativos.
PK;Conteo y cardinalidad;Conozca los nombres de los números y la secuencia de conteo.;PK.CC.A.2;Reconocer y nombrar los números escritos del 0 al 10.
PK;Conteo y cardinalidad;Contar para saber el número de objetos.;PK.CC.B.3;Comprender las relaciones entre números y cantidades hasta 10.
PK;Conteo y cardinalidad;Comparar números.;PK.CC.C.4;"Cuente diversos objetos y acciones concretos hasta diez, utilizando la correspondencia biunívoca, y cuente con precisión hasta siete objetos en una configuración dispersa. Reconozca los patrones de ""uno más"" y ""uno menos""."
PK;Conteo y cardinalidad;Comparar números.;PK.CC.C.5;Utilice lenguaje comparativo, como más/menos que, igual a, para comparar y describir colecciones de objetos.
PK;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;PK.OA.A.1;Utilice objetos concretos para modelar problemas de suma (juntar) y resta (quitar) del mundo real hasta el nivel cinco.
PK;Medición y datos;Describir y comparar atributos mensurables.;PK.MD.A.1;Reconocer los atributos de longitud, área, peso y capacidad de los objetos cotidianos utilizando vocabulario apropiado (por ejemplo, largo, corto, alto, pesado, liviano, grande, pequeño, ancho, angosto).
PK;Medición y datos;Describir y comparar atributos mensurables.;PK.MD.A.2;"Compare los atributos de longitud y peso de dos objetos, incluyendo más largo/más corto, misma longitud; más pesado/más liviano, mismo peso; contiene más/menos, contiene la misma cantidad."
PK;Medición y datos;Clasificar objetos y contar el número de objetos en cada categoría.;PK.MD.B.3;Ordenar, categorizar y clasificar objetos por más de un atributo.
PK;Medición y datos;Trabajar con dinero.;PK.MD.C.4;Reconocer que ciertos objetos son monedas y que los dólares y las monedas representan dinero.
PK;Geometría;Identificar y describir formas (cuadrados, círculos, triángulos, rectángulos).;PK.GA1;Identificar las posiciones relativas de los objetos en el espacio y utilizar un lenguaje apropiado (por ejemplo, al lado, dentro, al lado de, cerca de, encima, debajo, aparte).
PK;Geometría;Identificar y describir formas (cuadrados, círculos, triángulos, rectángulos).;PK.GA2;Identificar varias formas bidimensionales utilizando un lenguaje apropiado.
PK;Geometría;Analizar, comparar, crear y componer formas.;PK.GB3;Crear y representar formas tridimensionales (bola/esfera, caja cuadrada/cubo, tubo/cilindro) utilizando diversos materiales manipulativos (como palitos de helado, bloques, limpiapipas, bloques de patrones).
K;Conteo y cardinalidad;Conozca los nombres de los números y la secuencia de conteo.;K.CC.A.1;Cuente hasta 100 de uno en uno y de diez en diez.
K;Conteo y cardinalidad;Conozca los nombres de los números y la secuencia de conteo.;K.CC.A.2;Cuente hacia adelante comenzando desde un número dado dentro de la secuencia conocida (en lugar de tener que comenzar en uno).
K;Conteo y cardinalidad;Conozca los nombres de los números y la secuencia de conteo.;K.CC.A.3;Escribe números del 0 al 20. Representa una cantidad de objetos con un numeral escrito del 0 al 20 (donde 0 representa un recuento de ningún objeto).
K;Conteo y cardinalidad;Contar para saber el número de objetos.;K.CC.B.4;"Comprender la relación entre números y cantidades; conectar el conteo con la cardinalidad."
K;Conteo y cardinalidad;Contar para saber el número de objetos.;K.CC.B.4.a;Al contar objetos, diga los nombres de los números en el orden estándar, emparejando cada objeto con un solo nombre de número y cada nombre de número con un solo objeto.
K;Conteo y cardinalidad;Contar para saber el número de objetos.;K.CC.B.4.b;Entiende que el último número mencionado indica la cantidad de objetos contados. La cantidad de objetos es la misma independientemente de su disposición o del orden en que se contaron.
K;Conteo y cardinalidad;Contar para saber el número de objetos.;K.CC.B.4.c;"Comprender que cada número sucesivo se refiere a una cantidad mayor. Reconocer el patrón de ""uno más"" al contar objetos."
K;Conteo y cardinalidad;Contar para saber el número de objetos.;K.CC.B.5;"Cuente para responder preguntas de ""¿cuántos?"" sobre hasta 20 cosas dispuestas en línea, en una formación rectangular o en un círculo, o hasta 10 cosas en una configuración dispersa; dado un número del 1 al 20, cuente esa misma cantidad de objetos."
K;Conteo y cardinalidad;Comparar números.;K.CC.C.6;Identificar si la cantidad de objetos en un grupo es mayor, menor o igual que la cantidad de objetos en otro grupo para grupos con hasta 10 objetos, por ejemplo, utilizando estrategias de conteo y emparejamiento.
K;Conteo y cardinalidad;Comparar números.;K.CC.C.7;Comparar dos números entre 1 y 10 presentados como numerales escritos.
K;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;K.OA.A.1;Representar la suma y la resta con objetos, dedos, imágenes mentales, dibujos, sonidos (por ejemplo, aplausos), representaciones de situaciones, explicaciones verbales, expresiones o ecuaciones.˜ [Nota: Los dibujos no necesitan mostrar detalles, pero deben mostrar las matemáticas en el problema.˜ (Esto se aplica dondequiera que se mencionen dibujos en los estándares).]
K;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;K.OA.A.2;Resolver problemas de suma y resta, y sumar y restar dentro de 10, por ejemplo, utilizando objetos o dibujos para representar el problema.
K;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;K.OA.A.3;Descomponer números menores o iguales a 10 en pares de más de una manera, por ejemplo, utilizando objetos o dibujos, y registrar cada descomposición mediante un dibujo o ecuación (por ejemplo, 5 = 2 + 3 y 5 = 4 + 1).
K;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;K.OA.A.4;Para cualquier número del 1 al 9, encuentre el número que da 10 cuando se suma al número dado, por ejemplo, usando objetos o dibujos, y registre la respuesta con un dibujo o una ecuación.
K;Operaciones y pensamiento algebraico;Entender la adición como juntar y agregar a algo, y entender la resta como separar y quitar de algo.;K.OA.A.5;Sumar y restar con fluidez hasta 5, incluido el cero
K;Números y operaciones en base diez;Trabaje con los números 11 al 19 para obtener bases sobre el valor posicional.;K.NBT.A.1;"Componer y descomponer números del 11 al 19 en diez unidades y algunas unidades más, por ejemplo, utilizando objetos o dibujos, y registrar cada composición o descomposición mediante un dibujo o ecuación (por ejemplo, 18 = 10 + 8); comprender que estos números se componen de diez unidades y una, dos, tres, cuatro, cinco, seis, siete, ocho o nueve unidades"
K;Medición y datos;Describir y comparar atributos mensurables.;K.MD.A.1;Describe los atributos medibles de los objetos, como la longitud o el peso. Describe varios atributos medibles de un solo objeto.
K;Medición y datos;Describir y comparar atributos mensurables.;K.MD.A.2;Comparar directamente dos objetos con un atributo medible en común para ver cuál tiene más o menos de dicho atributo y describir la diferencia. Por ejemplo, comparar directamente la altura de dos niños y describir a uno como más alto o más bajo.
K;Medición y datos;Clasificar objetos y contar el número de objetos en cada categoría.;K.MD.B.3;"Clasificar objetos en categorías dadas; contar la cantidad de objetos en cada categoría (hasta 10 inclusive) y ordenar las categorías por conteo."
K;Geometría;Identificar y describir formas (cuadrados, círculos, triángulos, rectángulos, hexágonos, cubos, conos, cilindros y esferas).;KGA1;Describe objetos del entorno usando nombres de formas y describe las posiciones relativas de estos objetos usando términos como arriba, abajo, al lado, delante, detrás y al lado de.
K;Geometría;Identificar y describir formas (cuadrados, círculos, triángulos, rectángulos, hexágonos, cubos, conos, cilindros y esferas).;KGA2;Nombrar correctamente las formas independientemente de su orientación o tamaño general.
K;Geometría;Identificar y describir formas (cuadrados, círculos, triángulos, rectángulos, hexágonos, cubos, conos, cilindros y esferas).;KGA3;"Identificar formas como bidimensionales (que se encuentran en un plano, ""planas"") o tridimensionales (""sólidas"")."
K;Geometría;Analizar, comparar, crear y componer formas.;KGB4;"Analizar y comparar formas bidimensionales y tridimensionales, en diferentes tamaños y orientaciones, utilizando lenguaje informal para describir sus similitudes, diferencias, partes (por ejemplo, número de lados y vértices/""esquinas"") y otros atributos (por ejemplo, tener lados de igual longitud)."
