Grau;Área;Emitir;Código;Descrição
PK;Contagem e cardinalidade;Aprenda os nomes dos números e a sequência de contagem.;PK.CC.A.1;Ouça e diga os nomes dos números em contextos significativos.
PK;Contagem e cardinalidade;Aprenda os nomes dos números e a sequência de contagem.;PK.CC.A.2;Reconhecer e nomear os números escritos de 0 a 10.
PK;Contagem e cardinalidade;Conte para descobrir o número de objetos.;PK.CC.B.3;Compreender as relações entre números e quantidades até 10.
PK;Contagem e cardinalidade;Comparar números.;PK.CC.C.4;"Contar diversos objetos e ações concretas até dez, usando correspondência um-para-um, e contar com precisão até sete objetos em uma configuração dispersa. Reconhecer os padrões de ""um a mais"" e ""um a menos""."
PK;Contagem e cardinalidade;Comparar números.;PK.CC.C.5;Utilize linguagem comparativa, como maior/menor que, igual a, para comparar e descrever coleções de objetos.
PK;Operações e pensamento algébrico;Entenda a adição como juntar e adicionar algo, e entenda a subtração como separar e retirar algo.;PK.OA.A.1;Utilize objetos concretos para modelar problemas de adição (junção) e subtração (retirada) do mundo real até o nível cinco.
PK;Medição e dados;Descreva e compare atributos mensuráveis.;PK.MD.A.1;Reconhecer os atributos de comprimento, área, peso e capacidade de objetos do cotidiano usando vocabulário apropriado (por exemplo, comprido, curto, alto, pesado, leve, grande, pequeno, largo, estreito).
PK;Medição e dados;Descreva e compare atributos mensuráveis.;PK.MD.A.2;"Compare os atributos de comprimento e peso de dois objetos, incluindo: mais comprido/mais curto, mesmo comprimento; mais pesado/mais leve, mesmo peso; contém mais/menos, contém a mesma quantidade."
PK;Medição e dados;Ordene os objetos e conte o número de objetos em cada categoria.;PK.MD.B.3;Ordenar, categorizar e classificar objetos por mais de um atributo.
PK;Medição e dados;Trabalhar com dinheiro.;PK.MD.C.4;Reconheça que certos objetos são moedas e que dólares e moedas representam dinheiro.
PK;Geometria;Identificar e descrever formas (quadrados, círculos, triângulos, retângulos).;PK.GA1;Identificar as posições relativas dos objetos no espaço e usar a linguagem apropriada (por exemplo, ao lado de, dentro de, perto de, acima de, abaixo de, afastado).
PK;Geometria;Identificar e descrever formas (quadrados, círculos, triângulos, retângulos).;PK.GA2;Identificar diversas formas bidimensionais utilizando a linguagem apropriada.
PK;Geometria;Analisar, comparar, criar e compor formulários.;PK.GB3;Criar e representar formas tridimensionais (bola/esfera, quadrado/cubo, tubo/cilindro) usando diversos materiais manipuláveis (como palitos de picolé, blocos, limpadores de cachimbo, blocos de padrões).
K;Contagem e cardinalidade;Aprenda os nomes dos números e a sequência de contagem.;K.CC.A.1;Conte até 100, um de cada vez e depois de dez em dez.
K;Contagem e cardinalidade;Aprenda os nomes dos números e a sequência de contagem.;K.CC.A.2;Contar em ordem crescente a partir de um número dado dentro da sequência conhecida (em vez de ter que começar em um).
K;Contagem e cardinalidade;Aprenda os nomes dos números e a sequência de contagem.;K.CC.A.3;Escreva os números de 0 a 20. Represente uma quantidade de objetos com um numeral escrito de 0 a 20 (onde 0 representa a ausência de objetos).
K;Contagem e cardinalidade;Conte para descobrir o número de objetos.;K.CC.B.4;"Compreender a relação entre números e quantidades; conectar a contagem com a cardinalidade."
K;Contagem e cardinalidade;Conte para descobrir o número de objetos.;K.CC.B.4.a;Ao contar objetos, diga os nomes dos números na ordem padrão, associando cada objeto a um único nome de número e cada nome de número a um único objeto.
K;Contagem e cardinalidade;Conte para descobrir o número de objetos.;K.CC.B.4.b;Entenda que o último número mencionado indica a quantidade de objetos contados. A quantidade de objetos é a mesma, independentemente de sua disposição ou da ordem em que foram contados.
